Job Title,Average Salary,Currency
Analytics Engineering Manager,$399880,USD
Data Science Tech Lead,$375000,USD
Head of Machine Learning,$337000,USD
Managing Director Data Science,$280000,USD
AWS Data Architect,$258000,USD
Cloud Data Architect,$250000,USD
AI Architect,$229721,USD
Director of Data Science,$218775,USD
Machine Learning Software Engineer,$212907,USD
Data Analytics Lead,$208873,USD
Head of Data,$208790,USD
Data Infrastructure Engineer,$207332,USD
ML Engineer,$197927,USD
Data Science Manager,$197123,USD
Robotics Software Engineer,$196625,USD
Principal Data Scientist,$194089,USD
Deep Learning Engineer,$190807,USD
Applied Scientist,$190533,USD
Computational Biologist,$190384,USD
Research Scientist,$189684,USD
Head of Data Science,$189076,USD
Machine Learning Engineer,$186972,USD
Research Engineer,$185831,USD
Staff Machine Learning Engineer,$185000,USD
Prompt Engineer,$177937,USD
Computer Vision Engineer,$177734,USD
Data Science Director,$177416,USD
Machine Learning Scientist,$174195,USD
AI Software Engineer,$174100,USD
Machine Learning Modeler,$173350,USD
Data Pipeline Engineer,$172500,USD
Data Science Lead,$167585,USD
Decision Scientist,$166094,USD
AI Engineer,$164044,USD
Data Architect,$163007,USD
Data Science,$162734,USD
Machine Learning Infrastructure Engineer,$162711,USD
Data Product Manager,$159529,USD
Principal Data Engineer,$158924,USD
Data Lead,$156981,USD
ML Ops Engineer,$156400,USD
Data Scientist,$154357,USD
Analytics Engineer,$152778,USD
Machine Learning Researcher,$149644,USD
Machine Learning Manager,$149166,USD
Business Intelligence,$149104,USD
Data Engineer,$147170,USD
Marketing Data Analyst,$144327,USD
Business Intelligence Specialist,$144153,USD
Business Intelligence Lead,$143525,USD
Business Intelligence Manager,$143521,USD
Cloud Database Engineer,$142818,USD
Business Intelligence Engineer,$141942,USD
Finance Data Analyst,$141933,USD
AI Product Manager,$141766,USD
Applied Machine Learning Engineer,$141726,USD
MLOps Engineer,$141561,USD
Data Integration Developer,$140580,USD
Data Science Engineer,$139481,USD
Lead Data Engineer,$139230,USD
Data Strategy Manager,$138750,USD
Data Science Practitioner,$138421,USD
Data Analytics Manager,$137128,USD
NLP Engineer,$136942,USD
Data Scientist Lead,$136153,USD
Data Operations Manager,$136000,USD
AI Developer,$135466,USD
Staff Data Scientist,$134500,USD
Data Operations Engineer,$133431,USD
Cloud Data Engineer,$131617,USD
Data Modeler,$130519,USD
Principal Machine Learning Engineer,$129430,USD
Machine Learning Operations Engineer,$128000,USD
Big Data Architect,$126751,USD
Data Integration Engineer,$125465,USD
Manager Data Management,$125000,USD
Deep Learning Researcher,$124163,USD
Data Visualization Engineer,$122975,USD
Principal Data Analyst,$122500,USD
ETL Developer,$122126,USD
BI Analyst,$120412,USD
Data Visualization Analyst,$120000,USD
AI Research Scientist,$119444,USD
Lead Data Scientist,$119210,USD
Robotics Engineer,$118750,USD
Consultant Data Engineer,$118539,USD
Data Visualization Specialist,$117725,USD
Big Data Developer,$117000,USD
Applied Machine Learning Scientist,$115073,USD
Research Analyst,$112927,USD
AI Scientist,$111722,USD
Software Data Engineer,$111627,USD
Data Management Specialist,$111346,USD
Business Intelligence Analyst,$111192,USD
BI Developer,$108888,USD
Lead Data Analyst,$108333,USD
Data Analyst,$107934,USD
Data Science Consultant,$106879,USD
Data Manager,$106626,USD
Applied Data Scientist,$103365,USD
Data Strategist,$102400,USD
Business Intelligence Developer,$100395,USD
Data Quality Engineer,$100350,USD
Azure Data Engineer,$100000,USD
ETL Engineer,$98190,USD
Data Developer,$96309,USD
Data Analytics Specialist,$94914,USD
AI Research Engineer,$92736,USD
Data Management Consultant,$92500,USD
Data Management Analyst,$91747,USD
Data Analytics Associate,$91000,USD
Data Operations Analyst,$90905,USD
Data Specialist,$90392,USD
Financial Data Analyst,$90375,USD
Marketing Data Scientist,$90000,USD
Data Integration Specialist,$87815,USD
Data Operations Specialist,$87634,USD
Data Analytics Consultant,$86690,USD
Lead Machine Learning Engineer,$86543,USD
Data Quality Analyst,$83502,USD
Business Intelligence Data Analyst,$83209,USD
Data Modeller,$83052,USD
Autonomous Vehicle Technician,$82777,USD
Big Data Engineer,$80951,USD
Data Product Owner,$80115,USD
Product Data Analyst,$80040,USD
Staff Data Analyst,$79917,USD
Business Data Analyst,$79410,USD
Data Analytics Engineer,$78839,USD
Computer Vision Software Engineer,$77760,USD
Machine Learning Developer,$72703,USD
Data Analyst Lead,$71500,USD
BI Data Analyst,$70815,USD
Data Reporting Analyst,$70250,USD
Data Science Analyst,$67000,USD
Marketing Data Engineer,$66970,USD
Machine Learning Research Engineer,$66157,USD
Data DevOps Engineer,$65638,USD
Power BI Developer,$64781,USD
AI Programmer,$62347,USD
Data Operations Associate,$61399,USD
BI Data Engineer,$60000,USD
Sales Data Analyst,$60000,USD
Data Quality Manager,$59059,USD
Machine Learning Specialist,$55000,USD
Quantitative Research Analyst,$51000,USD
Admin & Data Analyst,$48055,USD
Insight Analyst,$46459,USD
Compliance Data Analyst,$45000,USD
